full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdallah Asmoun,20,943920000,Botola Pro,2019/2020,Forward,Hassania Agadir,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdarrahmane El Barki,27,720489600,Botola Pro,2019/2020,Defender,CR Khemis Zemamra,540,270,270,Morocco,6,3,3,0,0,0,0,0,0,0,0,1,1,0,6,3,3,1,0,0,0,0,0,0,0,1,90,90,540,0,0.17,221,313,78,27
Abdelali Aboubi,34,504921600,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,8,4,4,Morocco,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,17
Abdelali El Khanboubi,29,667008000,Botola Pro,2019/2020,Midfielder,Hassania Agadir,80,80,0,Morocco,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.13,0,1.13,1.13,0,80,1.13,80,40,80,0,1.13,-1,-1,-1,8
Abdelfattah Ait Ahmed,36,451522800,Botola Pro,2019/2020,Midfielder,Youssoufia Berrechid,639,302,337,Morocco,13,3,3,0,0,0,0,0,0,0,0,2,2,0,12,3,9,0,0,0,0,0,0,0,0,1.69,53,49,0,0,0,216,283,-1,23
Abdelfattah Hadraf,0,0,Botola Pro,2019/2020,Midfielder,Difaâ El Jadida,1337,707,630,Morocco,15,8,7,0,0,0,0,0,0,0,0,5,4,1,10,3,7,4,1,0,0,0,0,0,0,0.67,134,89,267,0,0.34,275,72,-1,22
Abdelghani Mouaoui,31,604108800,Botola Pro,2019/2020,Forward,Ittihad Tanger,715,428,287,Morocco,11,5,4,0,0,0,0,0,0,0,0,6,5,1,8,4,4,0,0,0,0,0,0,0,0,1.01,89,65,0,0,0,138,19,-1,15
Abdelhafid Lirki,30,632793600,Botola Pro,2019/2020,Midfielder,Hassania Agadir,406,147,259,Morocco,9,1,3,0,0,0,0,0,0,0,0,2,1,1,5,2,3,1,0,0,0,0,0,0,0,1.11,81,45,406,0,0.22,268,47,-1,22
Abdelhakim Bassaine,26,777337200,Botola Pro,2019/2020,Defender,Hassania Agadir,282,61,221,Morocco,4,1,3,0,0,0,0,0,0,0,0,1,0,1,3,2,1,2,1,0,0,0,0,0,0,0.96,94,71,94,0,0.96,289,52,73,25
Abdelhakim Drissi,0,0,Botola Pro,2019/2020,Forward,RSB Berkane,0,0,0,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
